title_year,country,Code,count_col,budget,gross
2004,Colombia,COL,1,3000000,6517198
2004,France,FRA,6,124354500,30078998
2004,Germany,DEU,9,269200000,238172986
2004,Hong Kong,HKG,2,32000000,17366150
2004,India,IND,1,7000000,2921738
2004,Ireland,IRL,1,28000000,17848322
2004,Italy,ITA,1,50000000,23106
2004,Japan,JPN,2,2154000000,5120843
2004,Romania,ROU,1,12000000,17016190
2004,Russia,RUS,1,4200000,1487477
2004,South Korea,#N/A,1,12800000,1110186
2004,Spain,ESP,2,15000000,3168389
2004,Sweden,SWE,1,25000000,9910
2004,United Kingdom,GBR,21,471095000,435178914
2004,United States of America,USA,156,5882743100,7349405888
2005,Australia,AUS,3,62000000,65998343
2005,Brazil,BRA,1,8000000,0
2005,Cameroon,CMR,1,0,32631
2005,Canada,CAN,10,176000000,195823373
2005,China,CHN,1,60000000,668171
2005,Denmark,DNK,1,14200000,74205
2005,France,FRA,10,295000000,247069444
2005,Germany,DEU,6,187000000,155035731
2005,Hungary,HUN,1,2500000000,195888
2005,India,IND,3,73000000,278677
2005,New Zealand,NZL,4,646000000,659281904
2005,Philippines,PHL,1,7000,70071
2005,South Korea,#N/A,1,4200000000,211667
2005,Thailand,THA,1,200000000,11905519
2005,United Kingdom,GBR,23,706864000,712425167
2005,United States of America,USA,154,5147688250,6306235297
2006,Australia,AUS,2,26400000,413630
2006,Canada,CAN,5,291500000,289415486
2006,China,CHN,3,67400000,14613185
2006,Czech Republic,CZE,1,84500000,617228
2006,France,FRA,9,229400000,58936557
2006,Germany,DEU,19,618000000,494006339
2006,Hong Kong,HKG,1,35000000,49413
2006,India,IND,4,830000000,5472774
2006,Ireland,IRL,1,0,1829142
2006,Israel,ISR,1,1500000,155972
2006,Netherlands,NLD,1,21000000,4398392
2006,New Zealand,NZL,1,0,728
2006,Poland,POL,1,2400000,978908
2006,South Africa,ZAF,1,10000000,0
2006,South Korea,#N/A,1,12200000000,2201412
2006,Spain,ESP,3,37500000,50522845
2006,Turkey,TUR,1,8300000,0
2006,United Kingdom,GBR,19,671300000,590064337
2006,United States of America,USA,165,4869930000,6961700538
2007,Brazil,BRA,1,4000000,8060
2007,Canada,CAN,6,17740000,7070459
2007,France,FRA,6,93600000,102464553
2007,Germany,DEU,4,123000000,41330952
2007,Hong Kong,HKG,3,84000000,55128352
2007,India,IND,2,0,1447432
2007,Ireland,IRL,2,190000,9437933
2007,Italy,ITA,1,38000000,0
2007,Mexico,MEX,1,0,12589108
2007,Romania,ROU,1,590000,1185783
2007,Russia,RUS,1,20000000,5701643
2007,South Korea,#N/A,1,35000000,10956379
2007,Spain,ESP,4,12100000,7631672
2007,Sweden,SWE,1,25000000,0
2007,United Kingdom,GBR,19,530300000,548451810
2007,United States of America,USA,151,5478097000,7478478547
2008,Australia,AUS,3,171400000,50579411
2008,Canada,CAN,5,81500000,43905151
2008,China,CHN,2,579000000,626809
2008,Denmark,DNK,2,45000000,145109
2008,France,FRA,6,195000000,171299282
2008,Germany,DEU,8,221000000,237134289
2008,Hong Kong,HKG,1,0,206678
2008,India,IND,1,0,55202
2008,Israel,ISR,1,1500000,2283276
2008,Japan,JPN,2,61000000,41958312
2008,Netherlands,NLD,1,4000000,542860
2008,Slovakia,SVK,1,0,0
2008,South Africa,ZAF,1,2000000,4958
2008,South Korea,#N/A,1,10000000,128486
2008,Spain,ESP,3,40500000,25420825
2008,Thailand,THA,1,300000000,102055
2008,United Kingdom,GBR,23,536400000,493144047
2008,United States of America,USA,163,6154850000,7891738635
2009,Argentina,ARG,1,2000000,20167424
2009,Australia,AUS,4,26500000,34892758
2009,Canada,CAN,9,95000000,69331675
2009,China,CHN,5,50000000,501254
2009,France,FRA,11,161900000,30241337
2009,Germany,DEU,6,162000000,97282096
2009,Greece,GRC,1,0,110197
2009,Hong Kong,HKG,2,80000000,19548064
2009,Iceland,ISL,1,3800000,19959
2009,India,IND,2,150000000,199228
2009,Ireland,IRL,3,12000000,678699
2009,Italy,ITA,2,13000000,5004648
2009,Norway,NOR,1,800000,41709
2009,Russia,RUS,1,29500000,0
2009,South Africa,ZAF,1,30000000,115646235
2009,South Korea,#N/A,1,0,0
2009,Spain,ESP,3,145600000,42838924
2009,Switzerland,CHE,1,4500000,0
2009,United Kingdom,GBR,21,467200000,389131774
2009,United States of America,USA,184,6574005000,9108963662
2010,Australia,AUS,4,11500000,0
2010,Canada,CAN,8,53150000,61348968
2010,China,CHN,1,12000000,0
2010,France,FRA,11,242900000,128006230
2010,Germany,DEU,4,63660000,60188340
2010,India,IND,3,612000000,6786265
2010,Italy,ITA,1,0,0
2010,Japan,JPN,1,12000000,0
2010,Mexico,MEX,1,0,5100937
2010,New Zealand,NZL,2,51500000,5664251
2010,Norway,NOR,1,19900000,252652
2010,Official site,#N/A,1,15000000,20218921
2010,Russia,RUS,1,25000000,0
2010,South Korea,#N/A,1,13400000,163591
2010,Spain,ESP,1,3000000,1028658
2010,Sweden,SWE,1,0,188870
2010,United Kingdom,GBR,21,432700000,372398561
2010,United States of America,USA,167,7391255000,9270410632
2011,Australia,AUS,2,143500000,63992328
2011,Belgium,BEL,1,15000000,1357042
2011,Canada,CAN,5,15500000,727786
2011,China,CHN,4,118000000,1483153
2011,Denmark,DNK,1,7400000,3029870
2011,Finland,FIN,1,3850000,611709
2011,France,FRA,10,129400000,118603570
2011,Georgia,GEO,1,20000000,17149
2011,Germany,DEU,3,106000000,57391248
2011,Hungary,HUN,1,20000000,23179303
2011,India,IND,1,0,563699
2011,Indonesia,IDN,1,1100000,4105123
2011,Iran,IRN,1,500000,7098492
2011,Ireland,IRL,2,29000000,24294632
2011,Mexico,MEX,1,0,1391770
2011,Norway,NOR,1,30300000,1196752
2011,South Africa,ZAF,1,15000000,0
2011,Spain,ESP,4,58000000,58084706
2011,United Kingdom,GBR,20,336520000,305853550
2011,United States of America,USA,164,6662081350,8072112917
2012,Australia,AUS,1,30000000,0
2012,Canada,CAN,6,16900000,31613182
2012,Denmark,DNK,1,3800000,610968
2012,Dominican Republic,DOM,1,500000,0
2012,France,FRA,9,151500000,172701113
2012,Germany,DEU,2,167000000,69444111
2012,India,IND,2,7220000,3400223
2012,Ireland,IRL,1,0,0
2012,Israel,ISR,1,0,2408553
